No.,SMILE,Alias,MW,R2,R3,R4,ALogP_86,PAMPA %R,PAMPA Papp  (x10-6cm/s),PAMPA Papp SD (x10-6cm/s),logDdec/w,logDoct/w
358,N61[C@H](CCC1)C(=O)N(Cc2noc(CC(C)C)c2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOc5ccccc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub09-38,906.11978,LA27,Nal,LA18,5.768,,,,,2.783933928
370,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](C)C(=O)N(CCOc3ccccc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-10,812.9966,LA33,Ala,LA18,3.348,,,,,3.170779226
380,N41[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCOc3ccccc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub10-20,855.07634,LA33,Leu,LA18,4.579,,,,,3.085577579
389,N51[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCOc4ccccc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub10-29,889.09256,LA33,Phe,LA18,4.904,,,,,3.063449185
398,N61[C@H](CCC1)C(=O)N(Cc2ccccc2Cn1cccn1)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCOc5ccccc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub10-38,939.15124,LA33,Nal,LA18,5.812,45.92897971,0.020880058,0.007065829,2.259203249,
11,N31[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub01-11,672.85844,LA01,Ala,LA19,1.258,90.44936585,0.04712166,0.013380052,-1.833921392,1.770931013
21,N31[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub01-21,714.93818,LA01,Leu,LA19,2.49,89.96061896,1.008647076,0.112974865,-0.22521054,2.399499475
31,N41[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub01-31,748.9544,LA01,Phe,LA19,2.814,83.75400058,2.007718178,0.262821974,0.190900748,2.797655434
39,N51[C@H](CCC1)C(=O)N(CC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub01-39,799.01308,LA01,Nal,LA19,3.723,30.52728199,3.422122729,0.485308586,1.27011684,2.998886544
51,N31[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub02-11,686.88502,LA02,Ala,LA19,1.782,91.91607125,0.137940417,0.014673557,-1.227167853,2.148433376
